,repository_name,language
0,app-store-server-library-java,Java
1,app-store-server-library-node,TypeScript
2,app-store-server-library-python,Python
3,app-store-server-library-swift,Swift
4,apple-llvm-infrastructure-tools,C++
5,apple_rules_lint,Starlark
6,ARKitScenes,Python
7,AudioUnit-Examples,Swift
8,AudioUnitSDK,C++
9,batch-processing-gateway,Java
10,ccs-caldavclientlibrary,HTML
11,ccs-caldavtester,Python
12,ccs-calendarserver,Python
13,ccs-pycalendar,Python
14,ccs-pykerberos,C
15,ccs-pyopendirectory,C++
16,ccs-pyosxframeworks,Python
17,ccs-pysecuretransport,Python
18,ccs-twistedextensions,Python
19,coremltools,Python
20,cups,C
21,darwin-libplatform,C
22,darwin-libpthread,C
23,darwin-xnu,C
24,device-management,
25,example-package-dealer,Swift
26,example-package-deckofplayingcards,Swift
27,example-package-fisheryates,Swift
28,example-package-playingcard,Swift
29,FHIRModels,Swift
30,foundationdb,C++
31,fstools,C
32,GCGC,Jupyter Notebook
33,homebrew-apple,Ruby
34,HomeKitADK,C
35,indexstore-db,C++
36,learning-compressible-subspaces,Python
37,learning-subspaces,Python
38,llvm-monorepo-root,
39,llvm-project,
40,llvm-project-v5,C++
41,llvm-project-v5-split,C++
42,MaterialX,
43,ml-afv,Python
44,ml-all-pairs,Python
45,ml-ane-transformers,Python
46,ml-aspanformer,Python
47,ml-autofocusformer,Python
48,ml-autofocusformer-segmentation,Python
49,ml-batchquant,Python
50,ml-capsules-inverted-attention-routing,Python
51,ml-cifar-10-faster,Python
52,ml-code-switched-speech-translation,Python
53,ml-collegial-ensembles,Python
54,ml-core,Python
55,ml-covid-mobility,R
56,ml-cread,Python
57,ml-cvnets,Python
58,ml-cvpr2019-swd,Python
59,ml-dab,Python
60,ml-data-parameters,Python
61,ml-destseg,Python
62,ml-dms-dataset,Python
63,ml-envmapnet,Python
64,ml-equivariant-neural-rendering,Jupyter Notebook
65,ml-facelit,Python
66,ml-fct,Python
67,ml-finerecon,Python
68,ml-flair,Jupyter Notebook
69,ml-gaudi,
70,ml-gmpi,Python
71,ml-gsn,Python
72,ml-hierarchical-confusion-matrix,TypeScript
73,ml-hypersim,Python
74,ml-interspeech2022-phi_rtn,
75,ml-knowledge-conflicts,Python
76,ml-live-pose,
77,ml-mkqa,Python
78,ml-mobileone,Swift
79,ml-multiple-futures-prediction,Python
80,ml-ncg,Python
81,ml-neilf,Python
82,ml-neuman,Python
83,ml-no-token-left-behind,Jupyter Notebook
84,ml-pointconvformer,Python
85,ml-pointersect,Python
86,ml-probabilistic-attention,Python
87,ml-projunit,Python
88,ml-qrecc,Python
89,ml-quant,Python
90,ml-robust-expert-augmentations,Python
91,ml-sad,Python
92,ml-selfcond,Python
93,ml-shuffling-amplification,Python
94,ml-spin,Python
95,ml-stable-diffusion,Python
96,ml-stuttering-events-dataset,Python
97,ml-tract,Python
98,ml-transcript-translation-consistency-ratings,
99,ml-translate-vis,TypeScript
100,ml-tree-dst,Python
101,ml-tune-mode-convbn,Python
102,ml-uwac,Python
103,ml-vfi-smiff,Python
104,openjdk,Java
105,password-manager-resources,JavaScript
106,sample-backyard-birds,Swift
107,sample-cloudkit-coredatasync,Swift
108,sample-cloudkit-encryption,Swift
109,sample-cloudkit-privatedb,Swift
110,sample-cloudkit-privatedb-sync,Swift
111,sample-cloudkit-queries,Swift
112,sample-cloudkit-sharing,Swift
113,sample-cloudkit-sync-engine,Swift
114,sample-cloudkit-tooling,JavaScript
115,sample-cloudkit-zonesharing,Swift
116,sample-food-truck,Swift
117,servicetalk,Java
118,sourcekit-lsp,Swift
119,swift,C++
120,swift-3-api-guidelines-review,Swift
121,swift-algorithms,Swift
122,swift-argument-parser,Swift
123,swift-asn1,Swift
124,swift-async-algorithms,Swift
125,swift-atomics,Swift
126,swift-book,Markdown
127,swift-cassandra-client,Swift
128,swift-certificates,Swift
129,swift-clang,C++
130,swift-clang-tools-extra,C++
131,swift-cluster-membership,Swift
132,swift-cmake-examples,CMake
133,swift-cmark,C
134,swift-collections,Swift
135,swift-collections-benchmark,Swift
136,swift-community-hosted-continuous-integration,
137,swift-compiler-rt,C
138,swift-corelibs-foundation,Swift
139,swift-corelibs-libdispatch,C
140,swift-corelibs-xctest,Swift
141,swift-crypto,C
142,swift-distributed-actors,Swift
143,swift-distributed-tracing,Swift
144,swift-distributed-tracing-baggage-core,Swift
145,swift-distributed-tracing-extras,Swift
146,swift-docc,Swift
147,swift-docc-plugin,Swift
148,swift-docc-render,JavaScript
149,swift-docc-render-artifact,
150,swift-docc-symbolkit,Swift
151,swift-docker,Dockerfile
152,swift-driver,Swift
153,swift-evolution,Markdown
154,swift-evolution-staging,Swift
155,swift-experimental-string-processing,Swift
156,swift-format,Swift
157,swift-foundation,Swift
158,swift-foundation-icu,C
159,swift-http-structured-headers,Swift
160,swift-installer-scripts,CMake
161,swift-integration-tests,Python
162,swift-internals,HTML
163,swift-issues,
164,swift-libcxx,C++
165,swift-llbuild,C++
166,swift-llbuild2,Swift
167,swift-lldb,C++
168,swift-llvm,LLVM
169,swift-llvm-bindings,Swift
170,swift-lmdb,C
171,swift-log,Swift
172,swift-markdown,Swift
173,swift-metrics,Swift
174,swift-metrics-extras,Swift
175,swift-nio,Swift
176,swift-nio-examples,Swift
177,swift-nio-extras,Swift
178,swift-nio-http2,Swift
179,swift-nio-imap,Swift
180,swift-nio-nghttp2-support,Swift
181,swift-nio-ssh,Swift
182,swift-nio-ssl,C
183,swift-nio-ssl-support,Swift
184,swift-nio-transport-services,Swift
185,swift-nio-zlib-support,Swift
186,swift-numerics,Swift
187,swift-openapi-generator,Swift
188,swift-openapi-runtime,Swift
189,swift-openapi-urlsession,Swift
190,swift-org-website,SCSS
191,swift-package-collection-generator,Swift
192,swift-package-manager,Swift
193,swift-package-registry-compatibility-test-suite,Swift
194,swift-protobuf,Swift
195,swift-protobuf-plugin,
196,swift-protobuf-test-conformance,
197,swift-sample-distributed-actors-transport,Swift
198,swift-se0270-range-set,Swift
199,swift-se0288-is-power,Swift
200,swift-service-context,Swift
201,swift-service-discovery,Swift
202,swift-source-compat-suite,Python
203,swift-standard-library-preview,Swift
204,swift-statsd-client,Swift
205,swift-stress-tester,Swift
206,swift-syntax,Swift
207,swift-system,Swift
208,swift-tools-support-async,Swift
209,swift-tools-support-core,Swift
